node_id,prefecture,population_m,mean_ili,winter_share,confidence
japan_0,Shimane,0.67,172.5,0.9093,structure
japan_1,Yamanashi,0.81,242.0,0.9338,structure
japan_2,Kanagawa,9.24,2024.4,0.9528,structure
japan_3,Kochi,0.69,248.1,0.9475,structure+magnitude
japan_4,Shizuoka,3.63,863.4,0.9443,structure
japan_5,Ehime,1.33,383.7,0.9277,structure+magnitude
japan_6,Tochigi,1.93,403.3,0.9302,structure
japan_7,Kumamoto,1.74,510.6,0.9248,structure
japan_8,Chiba,6.28,1414.5,0.9471,structure
japan_9,Aichi,7.54,1555.4,0.9502,structure
japan_10,Hokkaido,5.22,1389.0,0.902,structure+magnitude+phase
japan_11,Nagasaki,1.31,503.1,0.9195,structure
japan_12,Nara,1.32,261.6,0.9414,structure
japan_13,Shiga,1.41,313.0,0.9463,structure
japan_14,Miyagi,2.3,566.4,0.9085,structure
japan_15,Hyogo,5.47,1099.2,0.9424,structure
japan_16,Gunma,1.94,555.7,0.9377,structure
japan_17,Kyoto,2.58,651.4,0.944,structure
japan_18,Tokyo,14.05,2259.7,0.9424,structure
japan_19,Okinawa,1.47,600.4,0.7399,structure+magnitude+phase
japan_20,Iwate,1.21,414.6,0.8682,structure
japan_21,Ishikawa,1.13,312.5,0.9035,structure
japan_22,Yamagata,1.07,266.8,0.8638,structure
japan_23,Kagawa,0.95,303.8,0.9481,structure+magnitude
japan_24,Fukuoka,5.14,1551.4,0.9403,structure
japan_25,Miyazaki,1.07,477.6,0.9265,structure
japan_26,Aomori,1.24,360.0,0.886,structure
japan_27,Gifu,1.98,546.4,0.9273,structure
japan_28,Mie,1.77,447.4,0.9388,structure
japan_29,Nagano,2.05,615.4,0.9173,structure
japan_30,Toyama,1.03,266.2,0.9002,structure
japan_31,Oita,1.12,454.6,0.9382,structure
japan_32,Hiroshima,2.8,644.6,0.9433,structure
japan_33,Niigata,2.2,641.2,0.893,structure
japan_34,Fukui,0.77,245.2,0.9025,structure
japan_35,Ibaraki,2.87,681.9,0.9535,structure
japan_36,Yamaguchi,1.34,451.1,0.938,structure
japan_37,Saitama,7.34,1744.0,0.9506,structure
japan_38,Saga,0.81,261.3,0.9248,structure
japan_39,Wakayama,0.92,218.4,0.9481,structure
japan_40,Osaka,8.84,1561.2,0.946,structure
japan_41,Okayama,1.89,482.3,0.9413,structure
japan_42,Akita,0.96,307.5,0.8697,structure
japan_43,Fukushima,1.83,518.8,0.8846,structure
japan_44,Kagoshima,1.59,656.0,0.9086,structure
japan_45,Tokushima,0.72,192.3,0.9493,structure+magnitude
japan_46,Tottori,0.55,159.3,0.9087,structure
