node_id,prefecture,mean_ili
japan_0,Shimane,172.54310344827587
japan_1,Yamanashi,241.98850574712642
japan_2,Kanagawa,2024.4195402298851
japan_3,Kagawa,248.10919540229884
japan_4,Shizuoka,863.4367816091954
japan_5,Ehime,383.735632183908
japan_6,Tochigi,403.2844827586207
japan_7,Kumamoto,510.5574712643678
japan_8,Chiba,1414.471264367816
japan_9,Aichi,1555.3994252873563
japan_10,Hokkaido,1389.0201149425288
japan_11,Naoasaki,503.0919540229885
japan_12,Nara,261.6264367816092
japan_13,Shiga,312.9597701149425
japan_14,Miyagi,566.4109195402299
japan_15,Hyōgo,1099.1580459770114
japan_16,Gunma,555.7327586206897
japan_17,Kyoto,651.4051724137931
japan_18,Tokyo,2259.669540229885
japan_19,Okinawa,600.4109195402299
japan_20,Iwate,414.62068965517244
japan_21,Ishikawa,312.4741379310345
japan_22,Yamagata,266.80172413793105
japan_23,Kochi,303.80172413793105
japan_24,Fukuoka,1551.4396551724137
japan_25,Miyazaki,477.60919540229884
japan_26,Aomori,360.0086206896552
japan_27,Gifu,546.3879310344828
japan_28,Mie,447.38793103448273
japan_29,Nagano,615.448275862069
japan_30,Toyama,266.1666666666667
japan_31,Oita,454.60632183908046
japan_32,Hiroshima,644.5689655172414
japan_33,Niigata,641.2126436781609
japan_34,Fukui,245.16954022988506
japan_35,Ibaraki,681.9310344827586
japan_36,Yamaguchi,451.14080459770116
japan_37,Saitama,1744.0114942528735
japan_38,Saga,261.3333333333333
japan_39,Wakayama,218.3706896551724
japan_40,Osaka,1561.2356321839081
japan_41,Okayama,482.3074712643678
japan_42,Akita,307.47701149425285
japan_43,Fukushima,518.8333333333334
japan_44,Kagoshima,656.0431034482758
japan_45,Tokushima,192.28735632183907
japan_46,Tottori,159.32183908045977
