frozen wrapper results/misc/conformal_config.json  digest ok  gamma=0.05  alpha_1=0.1
  lambda_h = {'3': 0.1945, '5': 0.1809, '10': 0.4144, '15': 0.4584}
  calibrated on ['dengue', 'influenza_japan', 'influenza_us-regions', 'influenza_us-states', 'covid_us-states']


arm                              h   T       n |  raw cov     +lam     +ACI |      raw w     +lam w     +ACI w   inf%
ebola_L12 few-shot s42           3  18     757 |    0.532    0.840    0.861 |       24.0       33.4       43.7    0.0
ebola_L12 few-shot s42           5  18     766 |    0.510    0.833    0.868 |       23.4       31.8       43.4    0.0
ebola_L12 few-shot s42          10  18     765 |    0.522    0.916    0.918 |       36.9       67.4       67.0    0.0
ebola_L12 few-shot s42          15  18     642 |    0.358    0.696    0.802 |        5.3       10.2       33.3    0.0
ebola_L12 zero-shot s42          3  18     757 |    0.499    0.845    0.872 |       21.5       29.9       38.7    0.0
ebola_L12 zero-shot s42          5  18     766 |    0.405    0.820    0.868 |       19.0       25.9       35.4    0.0
ebola_L12 zero-shot s42         10  18     765 |    0.409    0.897    0.901 |       22.9       41.9       46.2    0.0
ebola_L12 zero-shot s42         15  18     642 |    0.386    0.928    0.927 |       25.8       49.4       46.6    0.0
ebola_L12 few-shot s52           3  18     757 |    0.408    0.741    0.818 |       17.4       24.1       40.1    0.0
ebola_L12 few-shot s52           5  18     766 |    0.410    0.749    0.833 |       20.8       28.3       53.0    0.0
ebola_L12 few-shot s52          10  18     765 |    0.506    0.915    0.916 |       26.8       49.0       49.9    0.0
ebola_L12 few-shot s52          15  18     642 |    0.159    0.464    0.805 |        5.4       10.4       36.5    0.0
ebola_L12 zero-shot s52          3  18     757 |    0.431    0.818    0.852 |       18.8       26.1       33.8    0.0
ebola_L12 zero-shot s52          5  18     766 |    0.409    0.839    0.866 |       19.7       26.8       34.6    0.0
ebola_L12 zero-shot s52         10  18     765 |    0.383    0.884    0.895 |       20.3       37.1       41.8    0.0
ebola_L12 zero-shot s52         15  18     642 |    0.357    0.921    0.921 |       24.4       46.7       45.4    0.0
ebola_L12 few-shot s62           3  18     757 |    0.485    0.867    0.881 |       27.5       38.2       43.7    0.0
ebola_L12 few-shot s62           5  18     766 |    0.448    0.826    0.872 |       24.9       33.9       40.0    0.0
ebola_L12 few-shot s62          10  18     765 |    0.525    0.941    0.940 |       41.8       76.5       70.4    0.0
ebola_L12 few-shot s62          15  18     642 |    0.290    0.782    0.827 |        8.0       15.4       30.3    0.0
ebola_L12 zero-shot s62          3  18     757 |    0.462    0.839    0.868 |       21.2       29.4       36.7    0.0
ebola_L12 zero-shot s62          5  18     766 |    0.448    0.862    0.885 |       22.8       31.0       36.7    0.0
ebola_L12 zero-shot s62         10  18     765 |    0.438    0.916    0.918 |       25.9       47.3       47.5    0.0
ebola_L12 zero-shot s62         15  18     642 |    0.382    0.930    0.927 |       24.0       46.1       43.9    0.0
ebola_L12 few-shot s72           3  18     757 |    0.462    0.818    0.857 |       24.7       34.3       50.5    0.0
ebola_L12 few-shot s72           5  18     766 |    0.401    0.764    0.832 |       19.4       26.4       47.9    0.0
ebola_L12 few-shot s72          10  18     765 |    0.758    0.967    0.966 |       52.3       95.7       81.6    0.0
ebola_L12 few-shot s72          15  18     642 |    0.181    0.551    0.794 |        4.4        8.4       31.9    0.0
ebola_L12 zero-shot s72          3  18     757 |    0.458    0.845    0.868 |       20.6       28.6       34.4    0.0
ebola_L12 zero-shot s72          5  18     766 |    0.407    0.756    0.866 |       19.3       26.3       35.4    0.0
ebola_L12 zero-shot s72         10  18     765 |    0.366    0.893    0.902 |       20.3       37.2       41.2    0.0
ebola_L12 zero-shot s72         15  18     642 |    0.338    0.907    0.911 |       19.9       38.1       39.2    0.0
ebola_L12 few-shot s82           3  18     757 |    0.569    0.880    0.892 |       30.3       42.0       47.0    0.0
ebola_L12 few-shot s82           5  18     766 |    0.414    0.795    0.839 |       22.4       30.4       55.7    0.0
ebola_L12 few-shot s82          10  18     765 |    0.607    0.969    0.966 |       64.5      117.9       98.4    0.0
ebola_L12 few-shot s82          15  18     642 |    0.388    0.763    0.829 |        9.2       17.7       31.5    0.0
ebola_L12 zero-shot s82          3  18     757 |    0.450    0.818    0.861 |       20.5       28.4       38.8    0.0
ebola_L12 zero-shot s82          5  18     766 |    0.436    0.789    0.866 |       19.3       26.2       37.2    0.0
ebola_L12 zero-shot s82         10  18     765 |    0.382    0.892    0.905 |       21.1       38.6       44.0    0.0
ebola_L12 zero-shot s82         15  18     642 |    0.350    0.917    0.916 |       21.2       40.7       40.5    0.0
ebola_L20 few-shot s42           3  18     757 |    0.873    0.942    0.939 |       91.9      127.6      114.5    0.0
ebola_L20 few-shot s42           5  18     766 |    0.877    0.946    0.945 |       99.0      134.8      123.0    0.0
ebola_L20 few-shot s42          10  18     765 |    0.787    0.961    0.956 |      115.5      211.3      176.8    0.0
ebola_L20 few-shot s42          15  18     642 |    0.956    0.988    0.986 |      137.1      262.9      215.9    0.0
ebola_L20 zero-shot s42          3  18     757 |    0.608    0.943    0.941 |       39.9       55.5       51.7    0.0
ebola_L20 zero-shot s42          5  18     766 |    0.469    0.918    0.919 |       37.6       51.2       51.5    0.0
ebola_L20 zero-shot s42         10  18     765 |    0.437    0.959    0.958 |       52.7       96.3       81.0    0.0
ebola_L20 zero-shot s42         15  18     642 |    0.383    0.969    0.969 |       62.9      120.5      101.1    0.0
ebola_L20 few-shot s52           3  18     757 |    0.588    0.868    0.880 |       40.8       56.6       63.2    0.0
ebola_L20 few-shot s52           5  18     766 |    0.551    0.862    0.869 |       88.7      120.8      149.6    0.0
ebola_L20 few-shot s52          10  18     765 |    0.575    0.973    0.967 |       67.3      123.2      104.3    0.0
ebola_L20 few-shot s52          15  18     642 |    0.785    0.975    0.969 |       87.8      168.3      143.2    0.0
ebola_L20 zero-shot s52          3  18     757 |    0.497    0.921    0.915 |       33.2       46.2       44.4    0.0
ebola_L20 zero-shot s52          5  18     766 |    0.480    0.927    0.927 |       37.6       51.2       50.3    0.0
ebola_L20 zero-shot s52         10  18     765 |    0.397    0.957    0.956 |       45.2       82.6       70.7    0.0
ebola_L20 zero-shot s52         15  18     642 |    0.377    0.972    0.967 |       60.1      115.2       97.3    0.0
ebola_L20 few-shot s62           3  18     757 |    0.672    0.983    0.966 |      108.3      150.5      127.8    0.0
ebola_L20 few-shot s62           5  18     766 |    0.550    0.897    0.899 |       83.7      113.9      116.1    0.0
